dia;mes;ano;valor
9;10;1937;10.9
10;10;1937;7.4
11;10;1937;17.7
12;10;1937;16.5
13;10;1937;20.4
14;10;1937;20.1
15;10;1937;23.4
16;10;1937;24.4
17;10;1937;23.1
18;10;1937;10.8
19;10;1937;15.9
20;10;1937;16.3
21;10;1937;17.2
22;10;1937;22.8
23;10;1937;19.2
24;10;1937;5.4
25;10;1937;6.8
26;10;1937;11.3
27;10;1937;12.9
28;10;1937;17.0
29;10;1937;22.2
30;10;1937;16.6
31;10;1937;14.8
1;11;1937;14.5
2;11;1937;19.8
3;11;1937;18.9
4;11;1937;15.2
5;11;1937;13.9
6;11;1937;15.7
7;11;1937;17.8
8;11;1937;13.7
9;11;1937;5.2
10;11;1937;12.1
11;11;1937;9.4
12;11;1937;21.8
13;11;1937;12.0
14;11;1937;29.6
15;11;1937;29.7
16;11;1937;25.0
17;11;1937;9.5
18;11;1937;12.0
19;11;1937;9.2
20;11;1937;15.6
21;11;1937;21.5
22;11;1937;16.3
23;11;1937;18.1
24;11;1937;26.1
25;11;1937;26.1
26;11;1937;19.9
27;11;1937;12.6
28;11;1937;18.5
29;11;1937;19.6
30;11;1937;14.0
1;12;1937;10.8
2;12;1937;13.9
3;12;1937;6.7
4;12;1937;14.8
5;12;1937;18.8
6;12;1937;19.2
7;12;1937;23.2
8;12;1937;24.7
9;12;1937;20.5
10;12;1937;17.3
11;12;1937;26.2
12;12;1937;21.7
13;12;1937;25.1
14;12;1937;26.4
15;12;1937;16.7
16;12;1937;10.9
17;12;1937;8.6
18;12;1937;19.3
19;12;1937;12.4
20;12;1937;6.1
21;12;1937;13.8
22;12;1937;12.8
23;12;1937;10.9
24;12;1937;15.8
25;12;1937;13.9
26;12;1937;13.4
27;12;1937;14.8
28;12;1937;10.3
29;12;1937;11.2
30;12;1937;17.2
31;12;1937;10.5
1;1;1938;10.8
2;1;1938;11.6
3;1;1938;14.2
4;1;1938;16.5
5;1;1938;26.4
6;1;1938;22.5
7;1;1938;8.8
8;1;1938;15.4
